productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extEnergyCost,extPowerCost,extMight,extCardType,extTag,extDomain,extFlavorText
653155,Highlander,Highlander,https://tcgplayer-cdn.tcgplayer.com/product/653155_200w.jpg,89,24439,https://cpt.tcgcsv.com/7hf7,2025-10-31T19:14:33.643,1,0.4,1.11,8.99,0.96,,Normal,Epic,020/024,4,0,0,Signature Spell,Master Yi,Calm;Body,
653156,Lux - Lady of Luminosity (Starter),Lux Lady of Luminosity Starter,https://tcgplayer-cdn.tcgplayer.com/product/653156_200w.jpg,89,24439,https://cpt.tcgcsv.com/8hf7,2025-10-31T19:14:41.213,1,5.99,8.9,14.25,7.5,,Normal,Rare,021/024,0,0,0,Legend,Lux,Mind;Order,
653157,Final Spark,Final Spark,https://tcgplayer-cdn.tcgplayer.com/product/653157_200w.jpg,89,24439,https://cpt.tcgcsv.com/9hf7,2025-10-31T19:14:50.087,1,2.9,3.98,7.49,3.32,,Normal,Epic,022/024,8,0,0,Signature Spell,Lux,Mind;Order,
653158,Garen - Might of Demacia (Starter),Garen Might of Demacia Starter,https://tcgplayer-cdn.tcgplayer.com/product/653158_200w.jpg,89,24439,https://cpt.tcgcsv.com/bhf7,2025-10-31T19:14:57.873,1,1.3,1.92,8.99,1.69,,Normal,Rare,023/024,0,0,0,Legend,Garen,Body;Order,
653159,Decisive Strike,Decisive Strike,https://tcgplayer-cdn.tcgplayer.com/product/653159_200w.jpg,89,24439,https://cpt.tcgcsv.com/chf7,2025-10-31T19:15:09.193,1,0.75,1.0,4.01,0.92,,Normal,Epic,024/024,5,1,0,Signature Spell,Garen,Body;Order,
663920,Origins - Proving Grounds Box Set Case,Origins Proving Grounds Box Set Case,https://tcgplayer-cdn.tcgplayer.com/product/663920_200w.jpg,89,24439,https://cpt.tcgcsv.com/qBk7,2025-11-14T17:21:25.147,0,1499.99,1499.99,1499.99,,,Normal,,,,,,,,,
664567,Fortified Position (Oversized),Fortified Position Oversized,https://tcgplayer-cdn.tcgplayer.com/product/664567_200w.jpg,89,24439,https://cpt.tcgcsv.com/mRk7,2025-11-20T18:39:56.22,1,3.0,8.97,15.0,5.99,,Normal,Uncommon,279/298,0,0,0,Battlefield,,None,
664569,Startipped Peak (Oversized),Startipped Peak Oversized,https://tcgplayer-cdn.tcgplayer.com/product/664569_200w.jpg,89,24439,https://cpt.tcgcsv.com/pRk7,2025-11-20T18:40:09.897,1,3.0,8.97,15.0,7.16,,Normal,Uncommon,288/298,0,0,0,Battlefield,,None,
664570,Trifarian War Camp (Oversized),Trifarian War Camp Oversized,https://tcgplayer-cdn.tcgplayer.com/product/664570_200w.jpg,89,24439,https://cpt.tcgcsv.com/qRk7,2025-11-20T18:40:21.773,1,3.0,8.98,15.0,4.75,,Normal,Uncommon,294/298,0,0,0,Battlefield,,None,
664571,Void Gate (Oversized),Void Gate Oversized,https://tcgplayer-cdn.tcgplayer.com/product/664571_200w.jpg,89,24439,https://cpt.tcgcsv.com/rRk7,2025-11-20T18:40:35.98,1,3.0,5.99,9.99,3.99,,Normal,Uncommon,296/298,0,0,0,Battlefield,,None,
